,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
163,1,63,True,discovery,server_or_host5,server_or_host5,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
164,1,64,True,portscan,server_or_host5,host11,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-2.0
165,1,65,True,lateral-movement,server_or_host5,host8,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
166,1,66,True,discovery,host8,host8,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
167,1,67,True,portscan,host8,host19,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
168,1,68,True,portscan,host8,server_or_host8,nothing,82447b958bf640398718caa2f9fa3a12,,-2.0
169,1,69,True,portscan,host8,server_or_host9,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
170,1,70,True,lateral-movement,host8,server_or_host13,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
171,1,71,True,discovery,server_or_host13,server_or_host13,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
172,1,72,True,lateral-movement,server_or_host13,host13,deploy_decoy,decoy_limit_exceeded,user_subnet1,-10.0
173,1,73,True,discovery,host13,host13,deploy_decoy,decoy_limit_exceeded,server_subnet2,-5.0
174,1,74,True,portscan,host13,host0,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
175,1,75,True,lateral-movement,host13,server_or_host24,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-10.0
176,1,76,True,discovery,server_or_host24,server_or_host24,deploy_decoy,decoy_limit_exceeded,user_subnet2,-5.0
177,1,77,True,portscan,server_or_host24,server_or_host6,nothing,b0284ea317ca44d19511833341947c18,,-2.0
178,1,78,True,portscan,server_or_host24,server_or_host21,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
179,1,79,True,lateral-movement,server_or_host24,server_or_host6,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
180,1,80,True,discovery,server_or_host6,server_or_host6,deploy_decoy,decoy_limit_exceeded,server_subnet1,-5.0
181,1,81,True,lateral-movement,server_or_host6,server_or_host21,deploy_decoy,decoy_limit_exceeded,subnet4,-10.0
182,1,82,True,discovery,server_or_host21,server_or_host21,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-5.0
183,1,83,True,portscan,server_or_host21,server_or_host18,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
184,1,84,True,portscan,server_or_host21,server_or_host12,nothing,fd9e7a1b3519451cb97a029b215c8c4d,,-2.0
185,1,85,True,lateral-movement,server_or_host21,host11,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
186,1,86,True,discovery,host11,host11,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-5.0
187,1,87,True,portscan,host11,server_or_host32,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
188,1,88,True,pingsweep,host11,dmz2,deploy_decoy,decoy_limit_exceeded,server_subnet2,-1.0
189,1,89,True,portscan,host11,dmz3,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
190,1,90,True,portscan,host11,dmz17,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
191,1,91,True,lateral-movement,host11,server_or_host17,nothing,a6d577925a5743519211b854abf09967,,-10.0
192,1,92,True,discovery,server_or_host17,server_or_host17,nothing,4917fe2adbd74ab09d0d55f10ebb868b,,-5.0
193,1,93,True,portscan,server_or_host17,server_or_host33,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
194,1,94,True,lateral-movement,server_or_host17,server_or_host18,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
195,1,95,True,discovery,server_or_host18,server_or_host18,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-5.0
196,1,96,True,lateral-movement,server_or_host18,server_or_host32,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
197,1,97,True,discovery,server_or_host32,server_or_host32,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-5.0
198,1,98,True,lateral-movement,server_or_host32,host1,deploy_decoy,decoy_limit_exceeded,dmz_subnet2,-10.0
199,1,99,True,discovery,host1,host1,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
200,2,0,True,pingsweep,dmz5,dmz5,remove_decoy,,,-1.0
201,2,1,True,portscan,dmz5,dmz5,remove_decoy,,,-2.0
202,2,2,True,discovery,dmz5,dmz5,remove_decoy,,,-5.0
203,2,3,True,portscan,dmz5,dmz12,nothing,452485064a7f47c185eff556d7e6d0ae,,-2.0
204,2,4,True,pingsweep,dmz5,server9,deploy_decoy,345f6f10eba54f4bb0df3cbfaa2d8405,subnet3,-21.0
